Season,Round,TeamA,TeamB,SeedA,SeedB,label,AdjEM_A,AdjEM_B,d_AdjEM,AdjO_A,AdjO_B,d_AdjO,AdjD_A,AdjD_B,d_AdjD,AdjT_A,AdjT_B,d_AdjT,Luck_A,Luck_B,d_Luck,SOS-AdjEM_A,SOS-AdjEM_B,d_SOS-AdjEM,NCSOS-AdjEM_A,NCSOS-AdjEM_B,d_NCSOS-AdjEM,Momentum_A,Momentum_B,d_Momentum,OffEFG_A,OffEFG_B,d_OffEFG,DefEFG_A,DefEFG_B,d_DefEFG,d_Seed
2010,First Round,Oklahoma St.,Georgia Tech,7,10,0,16.72,18.22,-1.5,112.2,109.2,3.0,95.4,91.0,4.400000000000006,66.2,68.2,-2.0,0.011,-0.034,0.045,8.47,10.94,-2.469999999999999,-4.33,-2.46,-1.87,17.318519586332606,9.479960300431454,7.838559285901152,52.5,50.3,2.200000000000003,48.1,44.3,3.8000000000000043,-3
2010,First Round,Ohio St.,UC Santa Barbara,2,15,1,24.99,2.11,22.88,117.5,100.0,17.5,92.5,97.9,-5.400000000000006,64.6,66.3,-1.7000000000000028,0.007,0.125,-0.118,7.88,-1.0,8.879999999999999,-2.92,3.46,-6.38,5.813905893249668,11.709167724222604,-5.895261830972936,56.1,50.7,5.399999999999999,47.1,48.0,-0.8999999999999986,-13
2010,First Round,UC Santa Barbara,Ohio St.,15,2,0,2.11,24.99,-22.88,100.0,117.5,-17.5,97.9,92.5,5.400000000000006,66.3,64.6,1.7000000000000028,0.125,0.007,0.118,-1.0,7.88,-8.879999999999999,3.46,-2.92,6.38,11.709167724222604,5.813905893249668,5.895261830972936,50.7,56.1,-5.399999999999999,48.0,47.1,0.8999999999999986,13
2010,Second Round,Northern Iowa,Kansas,9,1,1,18.87,31.85,-12.98,109.6,120.4,-10.800000000000011,90.8,88.5,2.299999999999997,58.9,67.2,-8.300000000000004,0.034,0.038,-0.003999999999999997,4.08,9.53,-5.449999999999999,-1.58,1.13,-2.71,6.923430252266911,1.3693513387789975,5.554078913487913,49.6,55.1,-5.5,46.6,43.2,3.3999999999999986,8
2010,Second Round,Kansas,Northern Iowa,1,9,0,31.85,18.87,12.98,120.4,109.6,10.800000000000011,88.5,90.8,-2.299999999999997,67.2,58.9,8.300000000000004,0.038,0.034,0.003999999999999997,9.53,4.08,5.449999999999999,1.13,-1.58,2.71,1.3693513387789975,6.923430252266911,-5.554078913487913,55.1,49.6,5.5,43.2,46.6,-3.3999999999999986,-8
2010,Second Round,Michigan St.,Maryland,5,4,1,20.13,22.37,-2.240000000000002,112.8,118.3,-5.5,92.7,95.9,-3.200000000000003,65.3,68.7,-3.4000000000000057,0.027,-0.023,0.05,9.03,8.87,0.16000000000000014,-0.94,-4.35,3.4099999999999997,5.480421281279824,7.675616554692951,-2.195195273413127,51.6,51.8,-0.19999999999999574,46.6,44.9,1.7000000000000028,1
2010,Second Round,Maryland,Michigan St.,4,5,0,22.37,20.13,2.240000000000002,118.3,112.8,5.5,95.9,92.7,3.200000000000003,68.7,65.3,3.4000000000000057,-0.023,0.027,-0.05,8.87,9.03,-0.16000000000000014,-4.35,-0.94,-3.4099999999999997,7.675616554692951,5.480421281279824,2.195195273413127,51.8,51.6,0.19999999999999574,44.9,46.6,-1.7000000000000028,-1
2010,Second Round,Tennessee,Ohio,6,14,1,18.5,8.25,10.25,108.9,107.3,1.6000000000000085,90.4,99.0,-8.599999999999994,67.5,68.8,-1.2999999999999972,0.082,-0.068,0.15000000000000002,8.67,0.76,7.91,-0.48,-0.9,0.42000000000000004,12.114913782250778,12.073084824562695,0.04182895768808237,50.6,49.4,1.2000000000000028,45.2,46.7,-1.5,-8
2010,Second Round,Ohio,Tennessee,14,6,0,8.25,18.5,-10.25,107.3,108.9,-1.6000000000000085,99.0,90.4,8.599999999999994,68.8,67.5,1.2999999999999972,-0.068,0.082,-0.15000000000000002,0.76,8.67,-7.91,-0.9,-0.48,-0.42000000000000004,12.073084824562695,12.114913782250778,-0.04182895768808237,49.4,50.6,-1.2000000000000028,46.7,45.2,1.5,8
2010,Second Round,Ohio St.,Georgia Tech,2,10,1,24.99,18.22,6.77,117.5,109.2,8.299999999999997,92.5,91.0,1.5,64.6,68.2,-3.6000000000000085,0.007,-0.034,0.041,7.88,10.94,-3.0599999999999996,-2.92,-2.46,-0.45999999999999996,5.813905893249668,9.479960300431454,-3.666054407181786,56.1,50.3,5.800000000000004,47.1,44.3,2.8000000000000043,-8
2010,Second Round,Georgia Tech,Ohio St.,10,2,0,18.22,24.99,-6.77,109.2,117.5,-8.299999999999997,91.0,92.5,-1.5,68.2,64.6,3.6000000000000085,-0.034,0.007,-0.041,10.94,7.88,3.0599999999999996,-2.46,-2.92,0.45999999999999996,9.479960300431454,5.813905893249668,3.666054407181786,50.3,56.1,-5.800000000000004,44.3,47.1,-2.8000000000000043,8
2010,Sweet 16,Michigan St.,Northern Iowa,5,9,1,20.13,18.87,1.259999999999998,112.8,109.6,3.200000000000003,92.7,90.8,1.9000000000000057,65.3,58.9,6.399999999999999,0.027,0.034,-0.007000000000000003,9.03,4.08,4.949999999999999,-0.94,-1.58,0.6400000000000001,5.480421281279824,6.923430252266911,-1.443008970987087,51.6,49.6,2.0,46.6,46.6,0.0,-4
