Season,Region,Round,Date,WTeam,WSeed,WScore,LTeam,LSeed,LScore
2014,west,First Round,2014-03-21,Creighton,3,76,Louisiana,14,66
2014,west,First Round,2014-03-20,Oregon,7,87,BYU,10,68
2014,west,First Round,2014-03-20,Wisconsin,2,75,American,15,35
2014,west,Second Round,2014-03-23,Arizona,1,84,Gonzaga,8,61
2014,west,Second Round,2014-03-22,San Diego St.,4,63,North Dakota St.,12,44
2014,west,Second Round,2014-03-23,Baylor,6,85,Creighton,3,55
2014,west,Second Round,2014-03-22,Wisconsin,2,85,Oregon,7,77
2014,west,Sweet 16,2014-03-27,Arizona,1,70,San Diego St.,4,64
2014,west,Sweet 16,2014-03-27,Wisconsin,2,69,Baylor,6,52
2014,west,Elite 8,2014-03-29,Wisconsin,2,64,Arizona,1,63
2014,national,Final Four,2014-04-05,Connecticut,7,63,Florida,1,53
2014,national,Final Four,2014-04-05,Kentucky,8,74,Wisconsin,2,73
2014,national,Championship,2014-04-07,Connecticut,7,60,Kentucky,8,54
2015,east,First Round,2015-03-19,Villanova,1,93,Lafayette,16,52
2015,east,First Round,2015-03-19,N.C. St.,8,66,LSU,9,65
2015,east,First Round,2015-03-20,Northern Iowa,5,71,Wyoming,12,54
2015,east,First Round,2015-03-20,Louisville,4,57,UC Irvine,13,55
2015,east,First Round,2015-03-20,Dayton,11,66,Providence,6,53
2015,east,First Round,2015-03-20,Oklahoma,3,69,Albany,14,60
2015,east,First Round,2015-03-20,Michigan St.,7,70,Georgia,10,63
2015,east,First Round,2015-03-20,Virginia,2,79,Belmont,15,67
2015,east,Second Round,2015-03-21,N.C. St.,8,71,Villanova,1,68
2015,east,Second Round,2015-03-22,Louisville,4,66,Northern Iowa,5,53
2015,east,Second Round,2015-03-22,Oklahoma,3,72,Dayton,11,66
2015,east,Second Round,2015-03-22,Michigan St.,7,60,Virginia,2,54
2015,east,Sweet 16,2015-03-27,Louisville,4,75,N.C. St.,8,65
2015,east,Sweet 16,2015-03-27,Michigan St.,7,62,Oklahoma,3,58
2015,east,Elite 8,2015-03-29,Michigan St.,7,76,Louisville,4,70
2015,midwest,First Round,2015-03-19,Kentucky,1,79,Hampton,16,56
2015,midwest,First Round,2015-03-19,Cincinnati,8,66,Purdue,9,65
2015,midwest,First Round,2015-03-20,West Virginia,5,68,Buffalo,12,62
2015,midwest,First Round,2015-03-20,Maryland,4,65,Valparaiso,13,62
2015,midwest,First Round,2015-03-19,Butler,6,56,Texas,11,48
2015,midwest,First Round,2015-03-19,Notre Dame,3,69,Northeastern,14,65
2015,midwest,First Round,2015-03-20,Wichita St.,7,81,Indiana,10,76
2015,midwest,First Round,2015-03-20,Kansas,2,75,New Mexico St.,15,56
2015,midwest,Second Round,2015-03-21,Kentucky,1,64,Cincinnati,8,51
2015,midwest,Second Round,2015-03-22,West Virginia,5,69,Maryland,4,59
2015,midwest,Second Round,2015-03-21,Notre Dame,3,67,Butler,6,64
2015,midwest,Second Round,2015-03-22,Wichita St.,7,78,Kansas,2,65
2015,midwest,Sweet 16,2015-03-26,Kentucky,1,78,West Virginia,5,39
2015,midwest,Sweet 16,2015-03-26,Notre Dame,3,81,Wichita St.,7,70
2015,midwest,Elite 8,2015-03-28,Kentucky,1,68,Notre Dame,3,66
2015,south,First Round,2015-03-20,Duke,1,85,Robert Morris,16,56
2015,south,First Round,2015-03-20,San Diego St.,8,76,St. John's,9,64
2015,south,First Round,2015-03-19,Utah,5,57,Stephen F. Austin,12,50
2015,south,First Round,2015-03-19,Georgetown,4,84,Eastern Washington,13,74
2015,south,First Round,2015-03-19,UCLA,11,60,SMU,6,59
2015,south,First Round,2015-03-19,UAB,14,60,Iowa St.,3,59
2015,south,First Round,2015-03-20,Iowa,7,83,Davidson,10,52
2015,south,First Round,2015-03-20,Gonzaga,2,86,North Dakota St.,15,76
2015,south,Second Round,2015-03-22,Duke,1,68,San Diego St.,8,49
2015,south,Second Round,2015-03-21,Utah,5,75,Georgetown,4,64
2015,south,Second Round,2015-03-21,UCLA,11,92,UAB,14,75
2015,south,Second Round,2015-03-22,Gonzaga,2,87,Iowa,7,68
2015,south,Sweet 16,2015-03-27,Duke,1,63,Utah,5,57
2015,south,Sweet 16,2015-03-27,Gonzaga,2,74,UCLA,11,62
2015,south,Elite 8,2015-03-29,Duke,1,66,Gonzaga,2,52
2015,west,First Round,2015-03-20,Wisconsin,1,86,Coastal Carolina,16,72
2015,west,First Round,2015-03-20,Oregon,8,79,Oklahoma St.,9,73
2015,west,First Round,2015-03-19,Arkansas,5,56,Wofford,12,53
2015,west,First Round,2015-03-19,North Carolina,4,67,Harvard,13,65
2015,west,First Round,2015-03-19,Xavier,6,76,Mississippi,11,57
2015,west,First Round,2015-03-19,Georgia St.,14,57,Baylor,3,56
2015,west,First Round,2015-03-19,Ohio St.,10,75,VCU,7,72
2015,west,First Round,2015-03-19,Arizona,2,93,Texas Southern,15,72
2015,west,Second Round,2015-03-22,Wisconsin,1,72,Oregon,8,65
2015,west,Second Round,2015-03-21,North Carolina,4,87,Arkansas,5,78
2015,west,Second Round,2015-03-21,Xavier,6,75,Georgia St.,14,67
2015,west,Second Round,2015-03-21,Arizona,2,73,Ohio St.,10,58
2015,west,Sweet 16,2015-03-26,Wisconsin,1,79,North Carolina,4,72
