Model,Round,Feature,MeanDeltaLogLoss,StdDeltaLogLoss,BaseLogLoss,n
lgbm,R64,d_Luck,0.2557885649377462,0.01586650806442505,0.02671848225616507,1022
lgbm,R64,d_SOS-AdjEM,0.21908953759436187,0.01165102490978473,0.02671848225616507,1022
lgbm,R64,d_NCSOS-AdjEM,0.044550979734287705,0.0030584716621047925,0.02671848225616507,1022
lgbm,R64,d_Momentum,0.09762268992559366,0.010261218760901638,0.02671848225616507,1022
lgbm,R64,d_OffEFG,0.02663505255676861,0.0015390863970648914,0.02671848225616507,1022
lgbm,R64,d_DefEFG,0.020289149480702096,0.0011108592888528347,0.02671848225616507,1022
lgbm,R64,d_Seed,0.397026019019253,0.023921969299515816,0.02671848225616507,1022
lgbm,R32,d_AdjEM,0.7758950874559666,0.032101108084839354,0.02775974260564961,512
lgbm,R32,d_AdjO,0.04997682513466168,0.003656171538861614,0.02775974260564961,512
lgbm,R32,d_AdjD,0.05614387979813682,0.004424371730413052,0.02775974260564961,512
lgbm,R32,d_AdjT,0.018660764834350103,0.0011570397292352645,0.02775974260564961,512
lgbm,R32,d_Luck,0.21078076317827063,0.017802031855656035,0.02775974260564961,512
lgbm,R32,d_SOS-AdjEM,0.23865309608281773,0.0187106336673277,0.02775974260564961,512
lgbm,R32,d_NCSOS-AdjEM,0.034306355697546614,0.0031063031293208847,0.02775974260564961,512
lgbm,R32,d_Momentum,0.09926053034207052,0.008930777824238824,0.02775974260564961,512
lgbm,R32,d_OffEFG,0.028490087896121903,0.0019984368397346474,0.02775974260564961,512
lgbm,R32,d_DefEFG,0.024966492970327023,0.0015598837920533452,0.02775974260564961,512
lgbm,R32,d_Seed,0.40566616967250985,0.027005959432112696,0.02775974260564961,512
lgbm,S16,d_AdjEM,0.5231495109189812,0.044341712995529275,0.030335268597758997,256
lgbm,S16,d_AdjO,0.05001140451446231,0.0049879568478134635,0.030335268597758997,256
lgbm,S16,d_AdjD,0.05197360676607538,0.006149118813444612,0.030335268597758997,256
lgbm,S16,d_AdjT,0.02064244867475337,0.002020311369366769,0.030335268597758997,256
lgbm,S16,d_Luck,0.28913920570645174,0.035877421705832024,0.030335268597758997,256
lgbm,S16,d_SOS-AdjEM,0.17784834932176233,0.018477980113903877,0.030335268597758997,256
lgbm,S16,d_NCSOS-AdjEM,0.03677560496107965,0.005236329715204733,0.030335268597758997,256
lgbm,S16,d_Momentum,0.11955635142338292,0.019297921800024872,0.030335268597758997,256
lgbm,S16,d_OffEFG,0.034133027014772305,0.002840880578971787,0.030335268597758997,256
lgbm,S16,d_DefEFG,0.02771437021612175,0.00292897077141872,0.030335268597758997,256
lgbm,S16,d_Seed,0.3132527720843847,0.027349532964605457,0.030335268597758997,256
lgbm,E8,d_AdjEM,0.5079081443161493,0.07381358027634642,0.03562745460880813,128
lgbm,E8,d_AdjO,0.04645681455365532,0.00749147627649554,0.03562745460880813,128
lgbm,E8,d_AdjD,0.06858221357771938,0.01449382771666045,0.03562745460880813,128
lgbm,E8,d_AdjT,0.02770547462602643,0.0033950135510351417,0.03562745460880813,128
lgbm,E8,d_Luck,0.27960830337364534,0.040618666581840955,0.03562745460880813,128
